"file","coverage"
"fzsgn.R",100
"fzsrv.R",100
"fzwlc.R",100
"ganls.R",100
"garch.R",100
"gblpf.R",100
"ghadp.R",100
"ghbvm.R",100
"ghcrt.R",100
"ghdir.R",100
"ghdpm.R",100
"ghebp.R",100
"ghgpm.R",100
"ghgps.R",100
"ghhbp.R",100
"ghlgd.R",100
"ghmmt.R",100
"ghntr.R",100
"ghreg.R",100
"ghsrv.R",100
"ghstk.R",100
"ghtst.R",100
"ghwav.R",100
"gpfit.R",100
"grdcl.R",100
"grdds.R",100
"grpqa.R",100
"gxemd.R",100
"heinz.R",100
"hrzb1.R",100
"hrzb2.R",100
"hrzi2.R",100
"hrzk1.R",100
"hrzk2.R",100
"hrzk3.R",100
"hrzm1.R",100
"hrzn1.R",100
"hrzn2.R",100
"hrzp2.R",100
"hrzs1.R",100
"hrzt1.R",100
"hrzt2.R",100
"hrzw1.R",100
"hrzw2.R",100
"idlpt.R",100
"impsm.R",100
"ipw_weights.R",100
"ipw.R",100
"irm.R",100
"isotn.R",100
"jkest.R",100
"johsn.R",100
"kmnsc.R",100
"ksr01.R",100
"ksr02.R",100
"ksr03.R",100
"ksr04.R",100
"ksr05.R",100
"ksr06.R",100
"ksr07.R",100
"ksr08.R",100
"ksr09.R",100
"ksr11.R",100
"ksr12.R",100
"ksr13.R",100
"ksr14.R",100
"ksr15.R",100
"ksr16.R",100
"ksr17.R",100
"ksr18.R",100
"ksr20.R",100
"ktaup.R",100
"kvcmp.R",100
"latnh.R",100
"license_check.R",100
"linrg.R",100
"lradw.R",100
"lrcvg.R",100
"mandela.R",100
"manifest.R",100
"mbgrd.R",100
"mcint.R",100
"mdrnk.R",100
"mdspl.R",100
"mdvtr.R",100
"mhatf.R",100
"midas.R",100
"mnpbt.R",100
"moeml.R",100
"mrm_design.R",100
"mrm_diagnostics.R",100
"mrm_mathstats.R",100
"mtgbl.R",100
"mxpol.R",100
"nbeat.R",100
"optcl.R",100
"ordct.R",100
"ordlt_jonckheere.R",100
"pcadm.R",100
"pctmr.R",100
"penls.R",100
"permt.R",100
"perseus.R",100
"plcmt.R",100
"polrg.R",100
"posab.R",100
"pplxm.R",100
"propc.R",100
"pspln.R",100
"quntf.R",100
"rcall.R",100
"regms.R",100
"rfgen.R",100
"rgadp.R",100
"rgapn.R",100
"rgarb.R",100
"rgemg.R",100
"rgenv.R",100
"rgfir.R",100
"rghrv.R",100
"rgiir.R",100
"rgqrs.R",100
"rgsam.R",100
"rgwav.R",100
"rgzcr.R",100
"rkhsc.R",100
"rlhfd.R",100
"rmsnr.R",100
"rnkbs.R",100
"rnkor.R",100
"rnnge.R",100
"rocau.R",100
"rotrp.R",100
"rptpn.R",100
"rslnk.R",100
"sarla.R",100
"sarre.R",100
"sglm.R",100
"sgnpw.R",100
"smixd.R",100
"sobls.R",100
"spcrs.R",100
"specf.R",100
"sptag.R",100
"ssmod.R",100
"strat.R",100
"sukht.R",100
"svmhg.R",100
"swigl.R",100
"tgrch.R",100
"thfdt.R",100
"tknbp.R",100
"tmpsc.R",100
"tolim.R",100
"topkd.R",100
"toppd.R",100
"tpspn.R",100
"trfbl.R",100
"trfge.R",100
"ucmod.R",100
"unfdl.R",100
"vaenc.R",100
"vdwrd.R",100
"vrgft.R",100
"vtpwr.R",100
"wdemb.R",100
"wnom.R",100
"wsrpw.R",100
"src/morie_core.h",100
"src/morie_dsp.cpp",100
"src/morie_fast.cpp",100
